Equipo/µrea;Equipo/Vicepresidencia
NEGOCIOS REGULADOS (CLS53000308);ASUNTOS REGULATORIOS (CLS80000003)
PLANEACION Y DESEMPE¥O TYD (CLS53000562);TRANSMISION Y DISTRIBUCION (CLS80000008)
ADMINISTRACION ALIADOS (CLS51000908);COMERCIAL (CLS80000004)
DESARROLLO DE PRODUCTOS (CLS53000027);COMERCIAL (CLS80000004)
OBRAS CIVILES PROYECTOS (CLS53000207);GENERACION (CLS80000006)
RELACIONAMIENTO Y GESTION (CLS53000321);FINANCIERA (CLS80000005)
RED DIGITAL 2.0 (CLS53000482);TRANSMISION Y DISTRIBUCION (CLS80000008)
COMUNICACIONES EXTERNAS (CLS51000796);ASUNTOS CORPORATIVOS (CLS80000002)
CUMPLIMIENTO (CLS53000239);ASUNTOS CORPORATIVOS (CLS80000002)
SOLUCIONES AL COLABORADOR (CLS53000281);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
GESTION DE LA MEDIDA (CLS53000265);TRANSMISION Y DISTRIBUCION (CLS80000008)
DISE¥O EXPERIENCIA CLIENTES (CLS53000610);COMERCIAL (CLS80000004)
CENTRAL GENERACION (CLS53000588);GENERACION (CLS80000006)
GESTION TECNOLOGIAS OPERACION TYD (CLS53000506);TRANSMISION Y DISTRIBUCION (CLS80000008)
PROYECTOS RED PROPIA (CLS51000900);TRANSMISION Y DISTRIBUCION (CLS80000008)
GESTION MULTISERVICIOS Y HOGAR MAS (CLS53000481);COMERCIAL (CLS80000004)
INGENIERIA DE DETALLE SISTEMAS FOTOVOLTAICOS (CLS53000357);TRANSMISION Y DISTRIBUCION (CLS80000008)
OBRAS CIVILES PROYECTOS (CLS53000428);GENERACION (CLS80000006)
DISTRITOS TERMICOS Y COGENERACION (CLS53000309);GENERACION (CLS80000006)
OPERACION Y MANTENIMIENTO RUTINARIO CENTRALES GENERACION (CLS53000592);GENERACION (CLS80000006)
CENTRO DE CONTROL (CLS53000342);TRANSMISION Y DISTRIBUCION (CLS80000008)
PROYECTO REDUCCION DE PERDIDAS ZONA VALLE (CLS53000039);TRANSMISION Y DISTRIBUCION (CLS80000008)
PROCESOS COMERCIALES (CLS51000910);COMERCIAL (CLS80000004)
PRESAS (CLS53000599);GENERACION (CLS80000006)
EXPERIENCIAS DE SERVICIO ZONA (CLS53000370);COMERCIAL (CLS80000004)
MANTENIMIENTO ELECTRICO CENTRALES GENERACION (CLS53000034);GENERACION (CLS80000006)
EJECUCION CRECIMIENTO DE RED (CLS53000457);TRANSMISION Y DISTRIBUCION (CLS80000008)
CENTRO DE OPERACIONES TIEMPO REAL INTERNET (CLS53000522);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
MANTENIMIENTO MECANICO CENTRALES GENERACION (CLS53000383);GENERACION (CLS80000006)
PLANEACION CRECIMIENTO DE RED (CLS53000456);TRANSMISION Y DISTRIBUCION (CLS80000008)
ENERGIA Y HOGARES (CLS53000278);COMERCIAL (CLS80000004)
EXPERIENCIAS DE SERVICIO (CLS53000568);COMERCIAL (CLS80000004)
SERVICIOS VIRTUALES (CLS53000539);COMERCIAL (CLS80000004)
OPERACION INTERNET (CLS53000238);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
REGIONAL VALLE EMPRESAS (CLS53000293);COMERCIAL (CLS80000004)
FACTURACION MEDIDA (CLS53000368);COMERCIAL (CLS80000004)
INGENIERIA PARA EL DESARROLLO (CLS51000795);FINANCIERA (CLS80000005)
REGIONAL COSTA (CLS53000289);COMERCIAL (CLS80000004)
REGIONAL BOGOTA (CLS53000288);COMERCIAL (CLS80000004)
CREDITOS (CLS53000333);COMERCIAL (CLS80000004)
SEGURIDAD Y SALUD EN EL TRABAJO (CLS51000337);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
CONFIABILIDAD MANTENIMIENTO (CLS53000248);TRANSMISION Y DISTRIBUCION (CLS80000008)
PROTECCIONES AUTOMATIZACION Y CONTROL (CLS51000843);GENERACION (CLS80000006)
INGENIERIA DE APOYO AGUAS (CLS51000845);GENERACION (CLS80000006)
ALMACEN (CLS53000376);FINANCIERA (CLS80000005)
CENTRO DE CONTROL (CLS53000347);TRANSMISION Y DISTRIBUCION (CLS80000008)
CONFIABILIDAD MANTENIMIENTO TYD (CLS53000248);TRANSMISION Y DISTRIBUCION (CLS80000008)
OPERACION Y MANTENIMIENTO RUTINARIO CENTRALES GENERACION (CLS53000595);GENERACION (CLS80000006)
SUBESTACIONES VALLE SUR (CLS53000579);TRANSMISION Y DISTRIBUCION (CLS80000008)
PROYECTOS TECHOS FOTOVOLTAICOS (CLS53000010);TRANSMISION Y DISTRIBUCION (CLS80000008)
OPERACION Y MANTENIMIENTO DE LA MEDIDA ZONA VALLE SUR (CLS53000227);TRANSMISION Y DISTRIBUCION (CLS80000008)
CENTRAL GENERACION (CLS53000590);GENERACION (CLS80000006)
MANTENIIMENTO ZONA VALLE NORTE (CLS53000574);TRANSMISION Y DISTRIBUCION (CLS80000008)
COMERCIAL INTERNET (CLS53000324);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
COBRO Y RECAUDO (CLS53000367);COMERCIAL (CLS80000004)
VIAS Y OBRAS POR IMPUESTOS (CLS53000615);GENERACION (CLS80000006)
COMPENSACION Y PLANEACION DEL TALENTO (CLS53000021);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
MANTENIMIENTO INTERNET (CLS53000329);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
MANTENIMIENTO ZONA CARIBE (CLS53000573);TRANSMISION Y DISTRIBUCION (CLS80000008)
DEVOPS TECNOLOGIA (CLS53000460);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
SUBESTACIONES VALLE NORTE (CLS53000576);TRANSMISION Y DISTRIBUCION (CLS80000008)
PLANEACION ABASTECIMIENTO (CLS53000326);FINANCIERA (CLS80000005)
EXPERIENCIAS DE SERVICIO ZONA (CLS53000243);COMERCIAL (CLS80000004)
SERVICIO A CLIENTES (CLS51000701);COMERCIAL (CLS80000004)
PLANEACION DE LA OPERACION (CLS51000891);TRANSMISION Y DISTRIBUCION (CLS80000008)
MANTENIMIENTO ZONA TOLIMA NORTE (CLS53000260);TRANSMISION Y DISTRIBUCION (CLS80000008)
INGENIERIA DE APOYO TERMICAS (CLS51000846);GENERACION (CLS80000006)
LINEAS Y REDES VALLE SUR (CLS53000582);TRANSMISION Y DISTRIBUCION (CLS80000008)
VENTAS (CLS53000343);COMERCIAL (CLS80000004)
NEGOCIOS EN COMPETENCIA (CLS52000018);ASUNTOS REGULATORIOS (CLS80000003)
DISE¥O Y CONSTRUCCION INTERNET (CLS53000513);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
LINEAS Y REDES VALLE NORTE (CLS53000581);TRANSMISION Y DISTRIBUCION (CLS80000008)
GESTION DE LA MEDIDA Y DEMANDA (CLS53000265);TRANSMISION Y DISTRIBUCION (CLS80000008)
TIENDAS PROPIAS Y VENTAS EMPRESARIALES (CLS53000624);COMERCIAL (CLS80000004)
CIBERSEGURIDAD (CLS53000025);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
VENTAS (CLS53000514);COMERCIAL (CLS80000004)
DEVOPS TECNOLOGIA NEGOCIO (CLS53000544);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
PRESUPUESTO GENERACION (CLS53000209);GENERACION (CLS80000006)
GESTION ADMINISTRATIVA SAC (CLS53000037);GENERACION (CLS80000006)
MANTENIMIENTO LINEAS Y SUBESTACIONES (CLS53000361);TRANSMISION Y DISTRIBUCION (CLS80000008)
LOGISTICA NACIONAL (CLS53000012);FINANCIERA (CLS80000005)
CENTRAL HIDRAULICA ALTO Y BAJO ANCHICAYA (CLS51000814);GENERACION (CLS80000006)
CANALES PROPIOS (CLS53000296);COMERCIAL (CLS80000004)
RIESGOS Y SEGUROS (CLS51000505);FINANCIERA (CLS80000005)
SERVICIO AL CLIENTE (CLS51000701);COMERCIAL (CLS80000004)
RIESGOS (CLS53000283);FINANCIERA (CLS80000005)
EXPERIENCIA DEL COLABORADOR Y CULTURA (CLS53000466);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
PROYECTO NOVA (CLS51000893);TRANSMISION Y DISTRIBUCION (CLS80000008)
CENTRAL GENERACION (CLS53000589);GENERACION (CLS80000006)
SISTEMAS FOTOVOLTAICOS (CLS51000704);TRANSMISION Y DISTRIBUCION (CLS80000008)
CONTROL DE ENERGIA (CLS53000572);TRANSMISION Y DISTRIBUCION (CLS80000008)
CENTRO DE CONTROL (CLS53000344);TRANSMISION Y DISTRIBUCION (CLS80000008)
LABORATORIO DE MEDIDORES (CLS53000396);TRANSMISION Y DISTRIBUCION (CLS80000008)
REGIONAL VALLE (CLS53000291);COMERCIAL (CLS80000004)
MANTENIMIENTO ZONA VALLE SUR (CLS53000575);TRANSMISION Y DISTRIBUCION (CLS80000008)
COMUNICACIONES (CLS51000485);ASUNTOS CORPORATIVOS (CLS80000002)
EVALUACION DEL MANTENIMIENTO TYD (CLS51000859);TRANSMISION Y DISTRIBUCION (CLS80000008)
FINANZAS DE PRODUCTO (CLS53000270);FINANCIERA (CLS80000005)
MANTENIMIENTO REDES Y SUBESTACIONES ZONA (CLS53000273);TRANSMISION Y DISTRIBUCION (CLS80000008)
ASUNTOS LABORALES CA (CLS53000504);CELSIA CENTROAMERICA (CLS80000009)
SUPERVISION DE TURNO III (CLS53000067);CELSIA CENTROAMERICA (CLS80000009)
MANTENIMIENTO, INSTRUMENTACION Y ELECTRICO DMA (CLS53000069);CELSIA CENTROAMERICA (CLS80000009)
FINANZAS (CLS53000525);ENERBIT (CLS80000022)
MERCADOS FINANCIEROS (CLS53000418);FINANCIERA (CLS80000005)
CONTROL QUIMICO (CLS53000497);CELSIA CENTROAMERICA (CLS80000009)
MANTENIMIENTO MECANICO DMA (CLS53000072);CELSIA CENTROAMERICA (CLS80000009)
MANTENIMIENTO ELECTROMECANICO CENTRALES (CLS53000214);CELSIA CENTROAMERICA (CLS80000009)
COMPLEJO HIDRICO CHIRIQUI (CLS52000023);CELSIA CENTROAMERICA (CLS80000009)
PLANEACION FINANCIERA (CLS52000010);FINANCIERA (CLS80000005)
SUPERVISION DE TURNO (CLS53000496);CELSIA CENTROAMERICA (CLS80000009)
LEGAL (CLS52000020);CELSIA CENTROAMERICA (CLS80000009)
SUPERVISION DE TURNO (CLS53000498);CELSIA CENTROAMERICA (CLS80000009)
TECNICO PRODUCTOS (CLS53000413);CELSIA CENTROAMERICA (CLS80000009)
COMPLEJO TERMICO COLON (CLS53000494);CELSIA CENTROAMERICA (CLS80000009)
COMERCIAL NUEVOS NEGOCIOS (CLS53000087);CELSIA CENTROAMERICA (CLS80000009)
CELSIA CENTROAMERICA (CLS51000552);CELSIA CENTROAMERICA (CLS80000009)
SUPERVISION DE TURNO (CLS53000495);CELSIA CENTROAMERICA (CLS80000009)
OPERACIONES Y MANTENIMIENTO (CLS53000411);CELSIA CENTROAMERICA (CLS80000009)
MANTENIMIENTO ME (CLS53000351);GENERACION (CLS80000006)
OPERACION CENTRALES TERMICAS (CLS53000469);GENERACION (CLS80000006)
GESTION DE LA MEDIDA ENERBIT (CLS53000621);ENERBIT (CLS80000022)
SUPERVISION TURNO IV CTC (CLS53000081);CELSIA CENTROAMERICA (CLS80000009)
INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS CA (CLS53000052);CELSIA CENTROAMERICA (CLS80000009)
PROYECTOS GENERACION (CLS51000486);PRESIDENCIA (CLS80000001)
PLANTA EOLICA GUANACASTE (CLS52000036);CELSIA CENTROAMERICA (CLS80000009)
OPERACIONES Y MANTENIMIENTO (CLS53000092);CELSIA CENTROAMERICA (CLS80000009)
PLANEACION FINANCIERA (CLS52000010);CELSIA CENTROAMERICA (CLS80000009)
SUPERVISION DE TURNO (CLS53000339);CELSIA CENTROAMERICA (CLS80000009)
CONTROL QUIMICO (CLS52000031);CELSIA CENTROAMERICA (CLS80000009)
GENERACION HIDRAULICA (CLS51000667);GENERACION (CLS80000006)
NUEVOS NEGOCIOS PAIS (CLS53000061);CELSIA CENTROAMERICA (CLS80000009)
OBRAS CIVILES PROYECTOS GENERACION (CLS53000036);GENERACION (CLS80000006)
RECURSOS TERMICAS (CLS51000913);GENERACION (CLS80000006)
MANTENIMIENTO TERMICAS (CLS51000771);GENERACION (CLS80000006)
MANTENIMIENTO MECANICO COMPLEJO TERMICO COLON (CLS53000501);CELSIA CENTROAMERICA (CLS80000009)
EQUIPOS ELECTRICOS PROYECTOS (CLS53000548);GENERACION (CLS80000006)
EXPERIENCIAS DE SERVICIO ZONA (CLS53000371);COMERCIAL (CLS80000004)
OPERACION Y MANTENIMIENTO RUTINARIO CENTRALES GENERACION (CLS53000597);GENERACION (CLS80000006)
DESARROLLO LOGISTICO (CLS53000556);FINANCIERA (CLS80000005)
HIDROGENO (CLS53000604);INNOVACION (CLS80000021)
OPERACIONES COMERCIALES (CLS51000754);COMERCIAL (CLS80000004)
ACTIVOS FIJOS (CLS53000246);FINANCIERA (CLS80000005)
PLANEACION MANTENIMIENTO LINEAS REDES Y UIETD (CLS53000231);TRANSMISION Y DISTRIBUCION (CLS80000008)
VENTAS Y OPERACIONES RETAIL (CLS53000617);COMERCIAL (CLS80000004)
CRECIMIENTO RED (CLS53000031);TRANSMISION Y DISTRIBUCION (CLS80000008)
MANTENIMIENTO INSTRUMENTACION CENTRALES GENERACION (CLS53000196);GENERACION (CLS80000006)
PLANEACION DEL MANTENIMIENTO TYD (CLS53000232);TRANSMISION Y DISTRIBUCION (CLS80000008)
INTERNET (CLS53000318);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
DISE¥O Y CONSTRUCCION INTERNET (CLS53000512);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
GESTION TECNICA GENERACION HIDRAULICA Y EOLICA (CLS53000587);GENERACION (CLS80000006)
OPERACION TERMICA (CLS51000773);GENERACION (CLS80000006)
GENERACION TERMICA (CLS53000350);GENERACION (CLS80000006)
COMERCIO EXTERIOR Y ZONA FRANCA (CLS51000775);FINANCIERA (CLS80000005)
CENTRAL HIDRAULICA PRADO Y CUCUANA (CLS51000816);GENERACION (CLS80000006)
PROTECCION DE RECURSOS (CLS51000329);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
SOCIOAMBIENTAL (CLS51000703);GENERACION (CLS80000006)
PMO TYD (CLS51000858);TRANSMISION Y DISTRIBUCION (CLS80000008)
MANTENIMIENTO TYD (CLS51000659);TRANSMISION Y DISTRIBUCION (CLS80000008)
CIUDADES Y EMPRESAS (CLS53000279);COMERCIAL (CLS80000004)
INTELIGENCIA COMPETITIVA (CLS53000505);COMERCIAL (CLS80000004)
GESTION TYD (CLS51000658);TRANSMISION Y DISTRIBUCION (CLS80000008)
COMUNICACIONES MARCA (CLS51000798);ASUNTOS CORPORATIVOS (CLS80000002)
ATRACCION CULTURA Y DESARROLLO DEL TALENTO (CLS53000030);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
SOCIOAMBIENTAL TYD (CLS53000403);TRANSMISION Y DISTRIBUCION (CLS80000008)
CENTRAL HIDRAULICA CALIMA (CLS51000815);GENERACION (CLS80000006)
GESTION MEDIDA Y PERDIDAS (CLS53000395);TRANSMISION Y DISTRIBUCION (CLS80000008)
MANTENIMIENTO TYD ZONA VALLE NORTE (CLS51000864);TRANSMISION Y DISTRIBUCION (CLS80000008)
EMPRESAS (CLS51000669);COMERCIAL (CLS80000004)
GESTION CONTRATISTAS (CLS51000809);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
COMPRAS CORPORATIVAS (CLS53000006);FINANCIERA (CLS80000005)
MANTENIMIENTO TYD ZONA CARIBE (CLS51000863);TRANSMISION Y DISTRIBUCION (CLS80000008)
SERVICIO HOGAR MAS (CLS53000298);COMERCIAL (CLS80000004)
MANTENIMIENTO ELECTRICO ALTO Y BAJO ANCHICAYA (CLS53000378);GENERACION (CLS80000006)
DESARROLLO DE SOLUCIONES TECNOLOGIA (CLS53000474);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
DESARROLLO DE NEGOCIOS (CLS51000480);FINANCIERA (CLS80000005)
PLANEACION Y COMBUSTIBLE MERCADO MAYORISTA (CLS53000536);GENERACION (CLS80000006)
ASUNTOS CORPORATIVOS (CLS50000056);ASUNTOS CORPORATIVOS (CLS80000002)
MANTENIMIENTO ACUEDUCTOS Y SANEAMIENTO (CLS53000607);GENERACION (CLS80000006)
GESTION RECURSOS CENTRAL TERMICA (CLS53000352);GENERACION (CLS80000006)
TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS50000059);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
EXPERIENCIA DE CLIENTES (CLS51000728);COMERCIAL (CLS80000004)
GESTION CONTABLE (CLS51000483);FINANCIERA (CLS80000005)
CENTRALES HIDRAULICAS MENORES (CLS51000490);GENERACION (CLS80000006)
PROYECTOS GENERACION (CLS51000486);GENERACION (CLS80000006)
CONTABILIDAD E IMPUESTOS (CLS51000151);FINANCIERA (CLS80000005)
PROYECTOS SOCIALES DE GENERACION (CLS53000033);GENERACION (CLS80000006)
GENERACION TERMICA (CLS50000062);GENERACION (CLS80000006)
MANTENIMIENTO MECANICO TERMICAS (CLS53000487);GENERACION (CLS80000006)
MANTENIMIENTOS MAYORES CENTRALES GENERACION (CLS53000591);GENERACION (CLS80000006)
ARQUITECTURA Y DIGITAL (CLS51000850);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
PROYECTOS GENERACION EOLICA (CLS53000028);GENERACION (CLS80000006)
BIENES INMUEBLES Y SERVICIOS ADMTIVOS (CLS51000336);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
GESTION TECNICA TERMICAS (CLS53000423);GENERACION (CLS80000006)
MANTENIMIENTO ZONA TOLIMA SUR (CLS53000261);TRANSMISION Y DISTRIBUCION (CLS80000008)
COMERCIAL (CLS51000576);COMERCIAL (CLS80000004)
CADENA DE ABASTECIMIENTO (CLS51000276);FINANCIERA (CLS80000005)
BIENES INMUEBLES I (CLS53000089);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
MANTENIMIENTO TYD ZONA (CLS53000260);TRANSMISION Y DISTRIBUCION (CLS80000008)
GESTION MANTENIMIENTO CENTRALES (CLS53000387);GENERACION (CLS80000006)
SOCIOAMBIENTAL CORPORATIVO (CLS53000530);ASUNTOS CORPORATIVOS (CLS80000002)
